生源所在地,东乡族,京族,仡佬族,仫佬族,侗族,俄罗斯族,傈僳族,傣族,其他,哈尼族,哈萨克族,回族,土家族,土族,壮族,布依族,彝族,怒族,拉祜族,摩梭族,撒拉族,普米族,朝鲜族,柯尔克孜族,毛难族,水族,汉族,满族,珞巴族,瑶族,畲族,白族,纳西族,维吾尔族,羌族,苗族,蒙古族,藏族,达斡尔族,鄂温克族,锡伯族,门巴族,黎族,合计
上海市,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84
云南省,0,0,0,0,0,0,1,2,1,4,0,6,0,0,2,0,16,1,1,1,0,1,0,0,0,1,158,1,0,0,0,8,6,0,0,1,1,1,0,0,0,0,0,213
内蒙古自治区,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,4,0,0,0,0,0,0,0,0,43,0,4,1,0,0,0,167
北京市,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,2,0,0,0,629,38,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,697
吉林省,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,0,202,28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,263
四川省,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,354,2,0,0,0,1,0,0,8,2,1,5,0,0,0,0,0,388
天津市,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,215
宁夏回族自治区,0,0,0,0,0,0,0,0,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
安徽省,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314
山东省,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445
山西省,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212
广东省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364
广西壮族自治区,0,2,0,5,3,0,0,0,0,0,0,2,1,0,54,0,0,0,0,0,0,0,0,0,1,2,92,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,179
新疆维吾尔自治区,0,0,0,0,0,1,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,108,1,0,0,0,0,0,67,0,0,4,0,0,0,3,0,0,213
江苏省,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384
江西省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
河北省,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,345,25,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,379
河南省,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,408,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418
浙江省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366
海南省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96
湖北省,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,248
湖南省,0,0,0,0,7,0,0,0,0,0,0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,7,0,1,0,1,0,9,0,0,0,0,0,0,0,327
甘肃省,2,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,165,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,179
福建省,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,253
西藏自治区,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,1,0,0,0,0,0,0,0,0,60,0,0,0,1,0,93
贵州省,0,0,3,0,7,0,0,0,0,0,0,3,10,0,0,9,4,0,0,0,0,0,0,0,0,0,85,4,0,0,0,3,0,0,0,18,0,0,0,0,0,0,1,147
辽宁省,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,278,40,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,338
重庆市,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,197
陕西省,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
青海省,1,0,0,0,0,0,0,0,0,0,0,12,1,6,0,0,0,0,0,0,2,0,1,0,0,0,98,4,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,138
黑龙江省,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,248,9,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,274
合计,3,2,5,5,17,1,1,2,3,4,13,165,75,7,67,9,29,1,1,1,2,1,48,3,1,3,7203,176,1,22,3,14,6,68,8,37,80,82,5,1,5,1,3,8184
